"Index","high","low","close","bid","ask","volume"
2012-02-03 15:15:00,2527.6,2474,2509,2509,2509.6,38447
2012-02-06 09:15:59,2526,2519.2,2519.2,2519.2,2519.6,39108
2012-02-06 09:16:59,2526.2,2519.2,2525,2524.8,2525,39481
2012-02-06 09:17:54,2526.2,2519.2,2523,2523,2523.6,39753
2012-02-06 09:18:59,2526.2,2519.2,2524,2523.8,2524,40066
2012-02-06 09:19:59,2528.8,2519.2,2526.8,2526.8,2527,40585
2012-02-06 09:20:59,2528.8,2519.2,2526.6,2526.6,2526.8,40784
2012-02-06 09:21:59,2528.8,2519.2,2525.2,2525,2525.2,40897
2012-02-06 09:22:59,2528.8,2519.2,2525,2525,2525.4,40994
2012-02-06 09:23:59,2528.8,2519.2,2524.8,2524.6,2525.2,41139
2012-02-06 09:24:59,2528.8,2519.2,2524.2,2524.2,2524.4,41220
2012-02-06 09:25:59,2528.8,2519.2,2523.8,2523.8,2524,41301
2012-02-06 09:26:59,2528.8,2519.2,2523.8,2523.8,2524,41406
2012-02-06 09:27:59,2528.8,2519.2,2525.4,2525.4,2525.6,41471
2012-02-06 09:28:59,2528.8,2519.2,2526,2526.4,2526.6,41639
2012-02-06 09:29:59,2528.8,2519.2,2526.6,2526.2,2526.6,41836
2012-02-06 09:30:59,2528.8,2519.2,2524.2,2524,2524.2,42073
2012-02-06 09:31:59,2528.8,2519.2,2524.6,2524.4,2524.6,42142
2012-02-06 09:32:59,2528.8,2519.2,2523.2,2522.8,2523.2,42226
2012-02-06 09:33:59,2528.8,2519.2,2525.8,2525.4,2526.2,42628
2012-02-06 09:34:59,2528.8,2519.2,2525.6,2525.6,2525.8,42860
2012-02-06 09:35:59,2528.8,2519.2,2523.6,2523.6,2523.8,42823
2012-02-06 09:36:59,2528.8,2519.2,2523.6,2523.4,2523.6,42933
2012-02-06 09:37:59,2528.8,2519.2,2524.4,2524.2,2524.4,42952
2012-02-06 09:38:59,2528.8,2519.2,2528.2,2528,2528.2,43233
2012-02-06 09:39:59,2528.8,2519.2,2527.2,2527,2527.2,43461
2012-02-06 09:40:59,2528.8,2519.2,2526.4,2526.6,2526.8,43680
2012-02-06 09:41:59,2528.8,2519.2,2526.4,2526.2,2526.4,43727
2012-02-06 09:42:59,2528.8,2519.2,2525.6,2525.6,2525.8,43804
2012-02-06 09:43:59,2528.8,2519.2,2526.4,2526.2,2526.4,43823
2012-02-06 09:44:59,2528.8,2519.2,2527.8,2527.8,2528,43952
2012-02-06 09:45:59,2533,2519.2,2524.6,2524.6,2525.2,44132
2012-02-06 09:46:59,2533,2519.2,2524,2523.8,2524,44204
2012-02-06 09:47:59,2533,2519.2,2522.6,2522.4,2522.6,44359
2012-02-06 09:48:59,2533,2519.2,2521.6,2521.2,2521.6,44325
2012-02-06 09:49:59,2533,2519.2,2521.4,2521,2521.2,44398
2012-02-06 09:50:59,2533,2519.2,2520,2519.8,2520,44378
2012-02-06 09:51:59,2533,2517.2,2518,2518,2518.2,44092
2012-02-06 09:52:59,2533,2517.2,2517.6,2517.6,2517.8,44036
2012-02-06 09:53:59,2533,2515.8,2515.8,2515.8,2516,44043
2012-02-06 09:54:59,2533,2514.4,2515,2514.4,2515,43975
2012-02-06 09:55:59,2533,2513.8,2516.8,2516.2,2516.8,44143
2012-02-06 09:56:59,2533,2513.8,2514.8,2514.8,2515,44302
2012-02-06 09:57:59,2533,2513,2514.6,2514,2514.6,44380
2012-02-06 09:58:59,2533,2513,2516.8,2516.4,2516.6,44320
2012-02-06 09:59:59,2533,2513,2515.8,2515.4,2515.8,44473
2012-02-06 10:00:59,2533,2513,2516.8,2516.2,2516.6,44514
2012-02-06 10:01:59,2533,2513,2516.6,2516.6,2516.8,44503
2012-02-06 10:02:59,2533,2513,2517,2517,2517.4,44564
2012-02-06 10:03:59,2533,2513,2515.8,2515.8,2516,44677
2012-02-06 10:04:59,2533,2513,2517.4,2517,2517.2,44764
